# source_sha256	87f5c391b0fc722bdaa0fdca468f160bccf1becaa2f81cec052c481b7c98f195
# scope	m1n1 pcie_init_controller(APCIE, /arm-io/apcie0), T6040 staged-clock path
# semantics	WRITE replaces the full value; RMW is (old & ~mask) | value; SET is old | mask; CLEAR is old & ~mask
sequence	phase	source	address	size	operation	mask	value
66	controller	apcie-axi2af-tunables	0x00416000948	4	RMW	0x07ff07ff	0x00200000
67	controller	apcie-axi2af-tunables	0x00416000a48	4	RMW	0x07ff07ff	0x000a0100
68	controller	apcie-axi2af-tunables	0x00416000b48	4	RMW	0x07ff07ff	0x00800080
69	controller	apcie-axi2af-tunables	0x00416000e00	4	RMW	0xffffffff	0x7fffffff
70	controller	apcie-axi2af-tunables	0x00416004008	4	RMW	0x00000001	0x00000001
71	controller	apcie-axi2af-tunables	0x0041600400c	4	RMW	0x00000001	0x00000001
72	controller	apcie-axi2af-tunables	0x00416004014	4	RMW	0x00000001	0x00000000
73	controller	apcie-axi2af-tunables	0x00416004018	4	RMW	0x00000001	0x00000000
74	controller	apcie-axi2af-tunables	0x0041600401c	4	RMW	0x00000001	0x00000001
75	controller	apcie-axi2af-tunables	0x004160010f8	4	RMW	0x00000001	0x00000001
76	controller	apcie-axi2af-tunables	0x004160011f8	4	RMW	0x00000001	0x00000001
77	controller	apcie-axi2af-tunables	0x004160012f8	4	RMW	0x00000001	0x00000001
78	controller	apcie-axi2af-tunables	0x004160013f8	4	RMW	0x00000001	0x00000001
79	controller	apcie-axi2af-tunables	0x004160014f8	4	RMW	0x00000001	0x00000001
80	controller	apcie-axi2af-tunables	0x004160010fc	4	RMW	0x00000001	0x00000001
81	controller	apcie-axi2af-tunables	0x004160011fc	4	RMW	0x00000001	0x00000001
82	controller	apcie-axi2af-tunables	0x004160012fc	4	RMW	0x00000001	0x00000001
83	controller	apcie-axi2af-tunables	0x004160013fc	4	RMW	0x00000001	0x00000001
84	controller	apcie-axi2af-tunables	0x004160014fc	4	RMW	0x00000001	0x00000001
85	controller	apcie-axi2af-tunables	0x00416020028	4	RMW	0x0000fe2f	0x00000000
86	controller	apcie-axi2af-tunables	0x0041602002c	4	RMW	0x00000007	0x00000000
87	controller	apcie-axi2af-tunables	0x00416020030	4	RMW	0x0000007f	0x00000000
88	controller	apcie-axi2af-tunables	0x00416020034	4	RMW	0x000000ff	0x00000000
89	controller	apcie-axi2af-tunables	0x00416020058	4	RMW	0x0000010b	0x00000000
90	controller	pcie.c:rc+0x4	0x00414000004	4	WRITE	0xffffffff	0x00000000
91	controller	apcie-cio3pllcore-tunables	0x00415046200	4	RMW	0x00000a0b	0x00000a01
92	controller	apcie-cio3pllcore-tunables	0x00415046224	4	RMW	0x00000c00	0x00000800
93	controller	apcie-cio3pllcore-tunables	0x00415046228	4	RMW	0x00000f00	0x00000b00
94	controller	apcie-cio3pllcore-tunables	0x00415046238	4	RMW	0x00000020	0x00000000
95	controller	apcie-cio3pllcore-tunables	0x0041504624c	4	RMW	0x000000ff	0x00000095
96	controller	apcie-cio3pllcore-tunables	0x004150462e8	4	RMW	0x000e0000	0x00020000
97	controller	apcie-cio3pllcore-tunables	0x00415046300	4	RMW	0x00ffffff	0x000b40b4
98	controller	apcie-pcieclkgen-tunables	0x00415044000	4	RMW	0x000003e0	0x00000220
99	pmgr	clock-gate:240:ANS	0x00502280370	4	RMW	0x1000030f	0x0000000f
100	pmgr	clock-gate:163:APCIE_ST0	0x00502280108	4	RMW	0x1000030f	0x0000000f
101	pmgr	clock-gate:242:APCIE_SYS_ST0	0x00502280380	4	RMW	0x1000030f	0x0000000f
102	pmgr	clock-gate:240:ANS	0x00502280370	4	RMW	0x1000030f	0x0000000f
103	pmgr	clock-gate:164:APCIE_ST1	0x00502280110	4	RMW	0x1000030f	0x0000000f
104	pmgr	clock-gate:243:APCIE_SYS_ST1	0x00502280388	4	RMW	0x1000030f	0x0000000f
105	pmgr	clock-gate:245:APCIE_PHY_SW	0x00502280398	4	RMW	0x1000030f	0x0000000f
106	controller	apcie-phy-tunables	0x00417008000	4	RMW	0x04000000	0x00000000
107	controller	apcie-phy-tunables	0x00417020000	4	RMW	0x10000000	0x00000000
108	controller	apcie-phy-tunables	0x00417024000	4	RMW	0x10000000	0x00000000
109	controller	apcie-phy-tunables	0x00417028000	4	RMW	0x10000000	0x00000000
110	controller	apcie-phy-tunables	0x0041702c000	4	RMW	0x10000000	0x00000000
111	phy	CLK0REQ	0x00417008000	4	SET	0x00000001	0x00000001
112	phy	CLK1REQ	0x00417008000	4	SET	0x00000002	0x00000002
113	phy	RESET	0x00417008000	4	CLEAR	0x00000080	0x00000000
114	phy	T8122 pre-tunable control	0x00417008004	4	SET	0x00000001	0x00000001
115	phy	apcie-phy-ip-pll-tunables	0x00417040090	4	RMW	0x00000001	0x00000001
116	phy	apcie-phy-ip-pll-tunables	0x004170400a4	4	RMW	0x00000001	0x00000001
117	phy	apcie-phy-ip-pll-tunables	0x00417041000	4	RMW	0x003f0000	0x00230000
118	phy	apcie-phy-ip-pll-tunables	0x0041704102c	4	RMW	0x03fffffc	0x00454444
119	phy	apcie-phy-ip-pll-tunables	0x00417041204	4	RMW	0x0000007c	0x00000044
120	phy	apcie-phy-ip-pll-tunables	0x0041704501c	4	RMW	0x00000004	0x00000000
121	phy	apcie-phy-ip-pll-tunables	0x00417045080	4	RMW	0x03c00000	0x01400000
122	phy	apcie-phy-ip-pll-tunables	0x00417045088	4	RMW	0x000f0000	0x00060000
123	phy	apcie-phy-ip-pll-tunables	0x0041704508c	4	RMW	0x03c00000	0x01400000
124	phy	apcie-phy-ip-pll-tunables	0x00417045094	4	RMW	0x000f0000	0x00060000
125	phy	apcie-phy-ip-pll-tunables	0x004170450a0	4	RMW	0x000f0000	0x00050000
126	phy	apcie-phy-ip-pll-tunables	0x004170450ac	4	RMW	0x000f0000	0x00050000
127	phy	apcie-phy-ip-pll-tunables	0x004170450b8	4	RMW	0x000f0000	0x00050000
128	phy	apcie-phy-ip-pll-tunables	0x00417045200	4	RMW	0x0000000a	0x0000000a
129	phy	apcie-phy-ip-pll-tunables	0x00417045224	4	RMW	0x00000c00	0x00000800
130	phy	apcie-phy-ip-pll-tunables	0x00417045230	4	RMW	0x0000001f	0x00000008
131	phy	apcie-phy-ip-pll-tunables	0x00417045240	4	RMW	0x07d8007f	0x04000049
132	phy	apcie-phy-ip-pll-tunables	0x004170452b0	4	RMW	0x08700000	0x00300000
133	phy	apcie-phy-ip-pll-tunables	0x004170452e8	4	RMW	0x00060000	0x00040000
134	phy	apcie-phy-ip-pll-tunables	0x00417045300	4	RMW	0x00ffffff	0x00078078
135	phy	apcie-phy-ip-pll-tunables	0x00417045320	4	RMW	0x00000006	0x00000002
136	phy	apcie-phy-ip-pll-tunables	0x0041704608c	4	RMW	0x03c3c000	0x01818000
137	phy	apcie-phy-ip-pll-tunables	0x00417046224	4	RMW	0x00000c00	0x00000800
138	phy	apcie-phy-ip-pll-tunables	0x00417046228	4	RMW	0x00000f00	0x00000b00
139	phy	apcie-phy-ip-pll-tunables	0x00417046230	4	RMW	0x0000001f	0x0000000f
140	phy	apcie-phy-ip-pll-tunables	0x0041704624c	4	RMW	0x0000007f	0x0000001d
141	phy	apcie-phy-ip-pll-tunables	0x004170462b0	4	RMW	0x00700000	0x00300000
142	phy	apcie-phy-ip-pll-tunables	0x004170462e8	4	RMW	0x00060000	0x00040000
143	phy	apcie-phy-ip-auspma-tunables	0x0041704a000	4	RMW	0x0000000f	0x0000000a
144	phy	apcie-phy-ip-auspma-tunables	0x0041704a008	4	RMW	0x0000000f	0x0000000a
145	phy	apcie-phy-ip-auspma-tunables	0x0041704a00c	4	RMW	0x0000000f	0x0000000a
146	phy	apcie-phy-ip-auspma-tunables	0x0041704a010	4	RMW	0x0000000f	0x0000000a
147	phy	apcie-phy-ip-auspma-tunables	0x0041704a014	4	RMW	0x0000000f	0x0000000a
148	phy	apcie-phy-ip-auspma-tunables	0x0041704a038	4	RMW	0x0000ffff	0x00000271
149	phy	apcie-phy-ip-auspma-tunables	0x0041704a040	4	RMW	0x00000800	0x00000000
150	phy	apcie-phy-ip-auspma-tunables	0x0041704a04c	4	RMW	0x00003fff	0x00000bff
151	phy	apcie-phy-ip-auspma-tunables	0x0041704a050	4	RMW	0x00000001	0x00000001
152	phy	apcie-phy-ip-auspma-tunables	0x0041704a068	4	RMW	0x00000007	0x00000001
153	phy	apcie-phy-ip-auspma-tunables	0x0041704a070	4	RMW	0xfff038e0	0x55b00820
154	phy	apcie-phy-ip-auspma-tunables	0x0041704a084	4	RMW	0xffffffff	0x3e8f4240
155	phy	apcie-phy-ip-auspma-tunables	0x0041704a088	4	RMW	0x00000fff	0x00000fff
156	phy	apcie-phy-ip-auspma-tunables	0x0041704a09c	4	RMW	0x0fc00000	0x05400000
157	phy	apcie-phy-ip-auspma-tunables	0x0041704a0b8	4	RMW	0xff03e000	0xaa03e000
158	phy	apcie-phy-ip-auspma-tunables	0x0041704a0bc	4	RMW	0x00060fff	0x00040faa
159	phy	apcie-phy-ip-auspma-tunables	0x0041704a0c0	4	RMW	0x3ff80000	0x14500000
160	phy	apcie-phy-ip-auspma-tunables	0x0041704a0c4	4	RMW	0x0000ffff	0x00007777
161	phy	apcie-phy-ip-auspma-tunables	0x0041704a0e0	4	RMW	0x18000000	0x08000000
162	phy	apcie-phy-ip-auspma-tunables	0x0041704a0e8	4	RMW	0x001ff000	0x00002000
163	phy	apcie-phy-ip-auspma-tunables	0x0041704a10c	4	RMW	0x3fffffff	0x000f4240
164	phy	apcie-phy-ip-auspma-tunables	0x0041704a11c	4	RMW	0x00040000	0x00040000
165	phy	apcie-phy-ip-auspma-tunables	0x0041704a178	4	RMW	0x03f00000	0x00300000
166	phy	apcie-phy-ip-auspma-tunables	0x0041704a1b4	4	RMW	0x0003ff00	0x00001500
167	phy	apcie-phy-ip-auspma-tunables	0x0041704a1bc	4	RMW	0x0003ff00	0x00001500
168	phy	apcie-phy-ip-auspma-tunables	0x0041704a1c4	4	RMW	0x00000001	0x00000001
